OID_,OBJECTID_1,OBJECTID_2,RS,Partido,Localidad,Direccion,Establecim,CP,Tel,X,Y,CENTER_ID
,"1,114","1,129",VI,LOMAS DE ZAMORA,Lomas de Zamora,Carlos Molina Arrotea N°2499,Clínica Privada 2 de Abril,1832,011-42821406/8125,-58.430247590000000,-34.761182290000001,"1,052"
,"1,115","1,130",VI,LOMAS DE ZAMORA,Lomas de Zamora,Hipolito Yrigoyen N° 8680,Clínica Privada Fundación Científica del Sur,1832,011-42921104,-58.401596689999998,-34.756537899999998,"1,053"
,"1,116","1,131",VI,LOMAS DE ZAMORA,Lomas de Zamora,Antonio Mentruyt N° 361,Hogar de Día Solar del Sur,1832, ,-58.416277899999997,-34.754051089999997,"1,054"
,"1,117","1,132",VI,LOMAS DE ZAMORA,Lomas de Zamora,Miguel C. Saavedra N° 109,Instituto Oftalmológico Dr. Aisenberg,1832,011-42457912,-58.430247590000000,-34.761182290000001,"1,055"
,"1,118","1,133",VI,LOMAS DE ZAMORA,Lomas de Zamora,Acevedo N° 365,Instituto Acevedo,1832,011-42430012,-58.400218799999998,-34.756250989999998,"1,056"
,"1,119","1,134",VI,LOMAS DE ZAMORA,Lomas de Zamora,Alem N° 440,Centro Integrado de Oncología Lomas de Zamora,1832,011-42437901,-58.398618390000003,-34.755397500000001,"1,057"
,"1,120","1,135",VI,LOMAS DE ZAMORA,Lomas de Zamora,Avenida Alte. Brown N° 2461,Centro de Ojos Lomas,B1832AAG,011-42432345,-58.396744089999999,-34.765443689999998,"1,058"
,"1,121","1,136",VI,LOMAS DE ZAMORA,Lomas de Zamora,Espana N° 151,Consultorios Externos del Hospital Italiano,1832, ,-58.399958190000000,-34.762557700000002,"1,059"
,"1,122","1,137",VI,LOMAS DE ZAMORA,Lomas de Zamora,Avenida Hipolito Irigoyen N° 9173,Centro de Rehabilitacion Intensiva Multimodal Surgir,1832, ,-58.403103100000003,-34.762412890000000,"1,060"
,"1,138","1,153",VI,LOMAS DE ZAMORA,Lomas de Zamora,Sanchez Loria N° 255 e/Espana e Italia,Centro Médico Luis Pasteur Lomas de Zamora,1832, ,-58.401260389999997,-34.761740289999999,"1,061"
,"1,139","1,154",VI,LOMAS DE ZAMORA,Lomas de Zamora,Estrada N° 345,Clínica Privada Uno SA(Hogar de Discapacitados y Centro de Día),1832, ,-58.418768239999999,-34.753788720000003,"1,062"
,"1,140","1,155",VI,LOMAS DE ZAMORA,Lomas de Zamora,Loria N° 275 5° Piso,Centro de Ojos Loria,1832, ,-58.401140800000000,-34.763035090000002,"1,063"
,"1,141","1,156",VI,LOMAS DE ZAMORA,Lomas de Zamora,Cgarona N° 525,IPRIBA SH(Policlínica),1832, ,-58.405478400000000,-34.764811199999997,"1,064"
,"1,142","1,157",VI,LOMAS DE ZAMORA,Lomas de Zamora,Saenz N°244,Policlínica de Consultorios Médicos Polivalentes,1832, ,-58.399907100000000,-34.758411590000001,"1,065"
,"1,143","1,158",VI,LOMAS DE ZAMORA,Temperley,Avenida Eva Peron  N° 3097,Clínica Privada Passo,1834,011-42640056,-58.360667599999999,-34.760992600000002,"1,066"
,"1,144","1,159",VI,LOMAS DE ZAMORA,Temperley,Avenida Eva Peron N° 4798,Clínica Comahue,1834,011-42604601/05/07,-58.343138199999999,-34.752169790000004,"1,067"
,"1,145","1,160",VI,LOMAS DE ZAMORA,Temperley,Avenida Meeks Nª 540,FEM Instituto Médico,1834, ,-58.398024489999997,-34.768362789999998,"1,068"
,"1,146","1,161",VI,LOMAS DE ZAMORA,Temperley,Anchorena N° 136,Centro de Hemodiálisis Temperley,1834,011-42430545,-58.382319389999999,-34.766721889999999,"1,069"
,"1,147","1,162",VI,LOMAS DE ZAMORA,Temperley,Eva Peron N° 3120,Instituto Sol de Otoño,1834, ,-58.360464690000001,-34.760857489999999,"1,070"
,"1,148","1,163",VI,LOMAS DE ZAMORA,Temperley,Garcia del Rio  N° 437,Clínica Privada de Psicopatología Vivencias,1834,011-42441118,-58.392449689999999,-34.783235390000002,"1,071"
,"1,149","1,164",VI,LOMAS DE ZAMORA,Temperley,Espora (Ex Espana),Integrar sin Barreras(Centro de Día  y Hogar),1834, ,-58.400253480000003,-34.769972299999999,"1,072"
,"1,150","1,165",VI,LOMAS DE ZAMORA,Temperley,Alzaga esq. Eva Peron  N° 695,Clínica Privada Bernardino Rivadavia de Co-Mar Argentina S.A.,1834,011-42929951,-58.387868789999999,-34.775077789999997,"1,073"
,"1,151","1,166",VI,LOMAS DE ZAMORA,Temperley,Avenida Alte. Brown N° 2779,Sanatorio Juncal S.A.,B1834GTS,011-42398000,-58.396530490000004,-34.769916490000000,"1,074"
,"1,179","1,194",V,MALVINAS ARGENTINAS,Grand Bourg,Soldado Baigorria N° 1484,DIAVERUM Argentina Sede Grand Bourg(2139),1615, ,-58.724001690000001,-34.484937889999998,"1,075"
,"1,180","1,195",V,MALVINAS ARGENTINAS,villa de mayo,Avenida Gral Lemos N° 2220,Buenas 24(Desintoxicación de Drogadependientes),1615, ,-58.685114089999999,-34.527368899999999,"1,076"
,"1,181","1,196",V,MALVINAS ARGENTINAS,Grand Bourg,Luis Vernet N° 2049,Centro de Día Proyecto Meulen,1615, ,-58.719424889999999,-34.479917890000003,"1,077"
,"1,182","1,197",V,MALVINAS ARGENTINAS,Los Polvorines,Pedraza N° 1785,Geriatrico Los Nogales,1613, ,-58.684430290000002,-34.523785900000000,"1,078"
,"1,206","1,221",VII,MERLO,Libertad,Honduras y Europa s/n°,Clínica Privada Dr.Roberti,1716, ,-58.693411290000000,-34.696127189999999,"1,079"
,"1,207","1,222",VII,MERLO,Libertad,Eva Peron N° 4855,Clínica Privada Libertad,1716,0220-4943696/3214,-58.693446389999998,-34.694215989999996,"1,080"
,"1,208","1,223",VII,MERLO,Libertad,Victor Mercante N° 200,Sala de Primeros Auxilios Asoc. Mutual Amigos de Libertad,1716,0220-4941332,-58.687293290000000,-34.691089190000000,"1,081"
,"1,209","1,224",VII,MERLO,Libertad,J. M. Estrada N° 81,Sanatorio del Oeste,1716,0220-4940060/41531,-58.688977100000002,-34.691103689999998,"1,082"
,"1,210","1,225",VII,MERLO,Mariano Acosta,Tres Sargentos N° 540,Sanatorio Privado Mariano Acosta,1723,0220-4998167,-58.790759989999998,-34.723081190000002,"1,083"
,"1,211","1,226",VII,MERLO,Mariano Acosta,Ricardo Balbin N° 8950,Consultorios Médicos Santa Rosa,1723, ,-58.756504090000000,-34.678107699999998,"1,084"
,"1,230","1,245",VII,MERLO,RIO ALEGRE,Pascal y Cruz del Eje,Comunidad Terapéutica Yo Pude Casa del Adolescente,1722, ,-58.728248290000003,-34.668500389999998,"1,085"
,"1,231","1,246",VII,MERLO,San Antonio de Padua,Noguera N° 65,Clínica Privada Noguera,1718,0220-4837612,-58.699113789999998,-34.666691790000002,"1,086"
,"1,232","1,247",VII,MERLO,San Antonio de Padua,Belgrano N° 255,Centro de Ojos Padua,1718, ,-58.697590190000000,-34.665143499999999,"1,087"
,"1,233","1,248",VII,MERLO,San Antonio de Padua,Avenida Presidente Peron N° 23984,WE CARE (Internación Domiciliaria),1718, ,-58.701202070000001,-34.666089149999998,"1,088"
,"1,234","1,249",VII,MERLO,San Antonio de Padua,Avenida Echeverria N| 318/322,Centro Terapéutico Integral (Discapacitados),1718, ,-58.694548890000000,-34.666864490000002,"1,089"
,"1,238","1,253",VII,MORENO,BARRIO MARILO,Avenida Roca N° 772/03,Fundación Villa Angela(Discapacitados),1744, ,-58.791381999999999,-34.634009890000002,"1,090"
,"1,239","1,254",VII,MORENO,Francisco Alvarez,Ramallo N° 377,Comunidad Terapèutica Casa del Sur Sede La Reja(Drogadependiente),1744, ,-58.846275300000002,-34.639210490000004,"1,091"
,"1,240","1,255",VII,MORENO,Francisco Alvarez,Conesa N° 2019,Comunidad Terapéutica Fundación Reencuentro(Drogadependiente),1744, ,-58.866189700000000,-34.632196090000001,"1,092"
,"1,241","1,256",VII,MORENO,La Reja,Miero N° 4056,Revelaciones Hogar y Centro de Día(Hogar para Discapacitado),1744, ,-58.838616389999999,-34.642109089999998,"1,093"
,"1,242","1,257",VII,MORENO,La Reja,Avenida Storni N° 1933,Asiciación Checar(Centro de Día),1744, ,-58.818484400000003,-34.633119200000003,"1,094"
,"1,243","1,258",VII,MORENO,La Reja,Schiffely N° 3530/52,Asociación Civil Andar, , ,-58.834356399999997,-34.645789190000002,"1,095"
,"1,261","1,276",VII,MORENO,Moreno,Nemesio Alvarez N° 612,Consultorios Médicos Nemesio,1744, ,-58.860509100000002,-34.645310299999998,"1,096"
,"1,262","1,277",VII,MORENO,Moreno,Manuel Maza N° 3435,Centro Educativo Terapéutico Solsire,1744, ,-58.747936690000003,-34.590840200000002,"1,097"
,"1,263","1,278",VII,MORENO,Moreno,Mitre N° 2360,CIM Moreno(Policlínica),1744, ,-58.783859890000002,-34.650690300000001,"1,098"
,"1,264","1,279",VII,MORENO,Paso del Rey,Salvador Maria del Carril N°421,Clínica Privada Paso del Rey,B1742IJI,0237-4620007,-58.761368789999999,-34.653387199999997,"1,099"
,"1,265","1,280",VII,MORENO,Paso del Rey,Bernardo de Irigoyen N° 2739/33 esq. Galileo Galilei N° 2701,Hogar Casa de Misericordia(Hogar de Ancianos),1742, ,-58.769635590000000,-34.627197289999998,"1,100"
,"1,266","1,281",VII,MORENO,Trujui,Juan Vucetich N°7752,Comunidad Terapéutica Se Vos,1744, ,-58.735636090000000,-34.589978189999997,"1,101"
,"1,267","1,282",VII,MORON,Castelar Sur,Santa Rosa N° 1181,Clínica Privada de Medicina Integral,1712,011-46232859,-58.630569989999998,-34.633285890000003,"1,102"
,"1,268","1,283",VII,MORON,Castelar Sur,Avenida Santa Rosa N°2385,Clínica  Privada Gregorio Marañon,1712,011-46616724,-58.630569989999998,-34.633285890000003,"1,103"
,"1,269","1,284",VII,MORON,Castelar Sur,Rojas N° 1766,Centro de Radiaciones Castelar,1712,011-46282477,-58.630569989999998,-34.633285890000003,"1,104"
,"1,270","1,285",VII,MORON,Castelar Sur,Monteverde N° 403/9,Centro de Hemodiálisis Modelo,1712, ,-58.630569989999998,-34.633285890000003,"1,105"
,"1,271","1,286",VII,MORON,Castelar Sur,Sarmiento N° 1652,Instituto Oftalmológico Dr. Carlos Taboada,B1712,011-46280678,-58.630569989999998,-34.633285890000003,"1,106"
,"1,272","1,287",VII,MORON,Castelar Sur,Bottaro N° 3898,Centro Médico Del Rosario,1712, ,-58.630569989999998,-34.633285890000003,"1,107"
,"1,273","1,288",VII,MORON,Castelar Sur,Almafuerte N° 2642,Centro Asistencial Dr. Angel Bo,1712, ,-58.630569989999998,-34.633285890000003,"1,108"
,"1,274","1,289",VII,MORON,Castelar Sur,Dean Funes N° 370,Hogar Geriátrico Residencia Dr. Oscar Cabot,1712, ,-58.630569989999998,-34.633285890000003,"1,109"
,"1,275","1,290",VII,MORON,Castelar Sur,Curuchet N° 3145,Instituto de Psicopatología Castelar,1712, ,-58.630569989999998,-34.633285890000003,"1,110"
,"1,292","1,307",VII,MORON,Haedo,Chanas N° 951,Hogar de Ancianos Parque Hogar(Adultos Mayores),1706, ,-58.597741390000003,-34.622304890000002,"1,111"
,"1,293","1,308",VII,MORON,Haedo,Avenida Rivadavia N° 15571,Consultorios Externos Clínica Privada Dres. Marcelo S. Tachella SA,1706, ,-58.585956699999997,-34.643496900000002,"1,112"
,"1,294","1,309",VII,MORON,Haedo,Igualdad N° 2497,Policlínica Privada Haedo,1706, ,-58.607920600000000,-34.639101189999998,"1,113"
,"1,295","1,310",VII,MORON,Haedo,Rawson N° 609,Soles de Abril(Centro de Día),1706, ,-58.616531389999999,-34.640654929999997,"1,114"
,"1,296","1,311",VII,MORON,Haedo,French N° 436,Casa Haedo(Hospital de Día),1706, ,-58.609855140000001,-34.652762240000001,"1,115"
,"1,297","1,312",VII,MORON,Haedo,Libertad N° 105,Consultorios Externos de la Clínica Modelo del Oeste,1706, ,-58.596514089999999,-34.646806400000003,"1,116"
,"1,298","1,313",VII,MORON,Haedo,Del Himno N° 174,Hogar Geriátrico Miradores del Sol,1706, ,-58.587282490000000,-34.642192399999999,"1,117"
,"1,299","1,314",VII,MORON,Moron,Carlos Pellegrini N° 1065,Hospital de Día ANDALUE,1708, ,-58.623714200000002,-34.654734890000000,"1,118"
,"1,300","1,315",VII,MORON,Moron,Sarmiento N° 1220,Hospital Rehabilitación Neuro Ortopedico Arenil,1708, ,-58.625564500000003,-34.648196790000000,"1,119"
,"1,301","1,316",VII,MORON,Moron,Cordoba N° 1205,Clínica Privada Córdoba,1708,011-46960137,-58.604834599999997,-34.662488889999999,"1,120"
,"1,302","1,317",VII,MORON,Moron,Avenida Rivadavia N° 18035,Instituto del Diagnostico,1708, ,-58.617815200000003,-34.649232890000000,"1,121"
,"1,303","1,319",VII,MORON,Moron,Nuestra Sra. Buen Viaje N° 545,Policlínica Medisol,B1708ECJ, ,-58.616618289999998,-34.651743590000002,"1,122"
,"1,304","1,320",VII,MORON,Moron,Machado Nª 689,Clínica Evita,1708, ,-58.618329490000001,-34.646393390000000,"1,123"
,"1,305","1,321",VII,MORON,Moron,Constituyentes N° 1068/72,Instituto Médico Constituyentes,1708,011-44833192,-58.618145400000003,-34.645296790000003,"1,124"
,"1,306","1,322",VII,MORON,Moron,Brown N° 546,Clínica Privada de Cirugía Ocular,1708,011-46281179,-58.616728600000002,-34.650592889999999,"1,125"
,"1,307","1,323",VII,MORON,Moron,Nuestra Sra. Buen Viaje N° 548,Centro de Diagnóstico Tesla S.R.L.,B1708ECJ,011-44830323,-58.616848589999996,-34.651770499999998,"1,126"
,"1,325","1,341",VII,MORON,Moron,Avenida Rivadavia N° 17740,Centro de Rehabilitación Juan XXIII(Rehabilitación Psicofísica),1708, ,-58.614049899999998,-34.649236490000000,"1,127"
,"1,326","1,342",VII,MORON,Moron,Castelli N° 69,Comunidad Terapéutica Proyecto Dicere Asociación Civil,1708, ,-58.612189690000001,-34.649258519999997,"1,128"
,"1,327","1,343",VII,MORON,Moron,Rivadavia N° 18480/82,Centro Médico Asociart Morón(Policlínica),1708, ,-58.623841689999999,-34.649148699999998,"1,129"
,"1,328","1,344",VII,MORON,Moron,Belgrano N° 664/66,Centro de Día Sobre Puentes,1708, ,-58.621312580000001,-34.655467840000000,"1,130"
,"1,329","1,345",VII,MORON,Moron,Ing. E. Boatti N° 572,Geriátrico Santa Emiliana,1708, ,-58.616304399999997,-34.654558790000003,"1,131"
,"1,330","1,346",VII,MORON,Moron,Republica Oriental del Uruguay N° 353,CEMODO Centro Médico Otorrinolaringológico del Oeste,1708, ,-58.617425689999997,-34.652408690000001,"1,132"
,"1,331","1,347",VII,MORON,Moron,Republica Oriental del Uruguay N° 279,Instituto de Medicina Cutánea SRL,1708, ,-58.617499000000002,-34.651412090000001,"1,133"
,"1,332","1,348",VII,MORON,Moron,Juez Gandara N° 924,Hogar Geriátrico El Nuevo Amanecer,1708, ,-58.615786589999999,-34.645087189999998,"1,134"
,"1,333","1,349",VII,MORON,Moron,Avenida Rivadavia N° 17624,Policlínica DIM Morón,1708, ,-58.612876190000001,-34.649008289999998,"1,135"
,"1,334","1,350",VII,MORON,VILLA SARMIENTO,Echeverria N° 278,Instituto Neuropsiquiatrico Ramos Mejia,1706, ,-58.564707499999997,-34.637075690000003,"1,136"
,"1,335","1,351",VII,MORON,VILLA SARMIENTO,Pte. Illia Nª 369,Hogar y Centro de Día Limica(Discapacitados),1706, ,-58.567493290000002,-34.627851890000002,"1,137"
,"1,336","1,352",VII,MORON,VILLA SARMIENTO,Coronel Cordoba N°1370,Geriátrico Ramos Mejía S.A.,1706, ,-58.572826090000000,-34.631833399999998,"1,138"
,"1,337","1,353",VII,MORON,VILLA SARMIENTO,Coronel Toscano N° 860,Hogar Geriátrico Misión de Jesús,1706, ,-58.575288499999999,-34.639325990000003,"1,139"
,"1,338","1,354",VII,MORON,VILLA SARMIENTO,Ing. Emilio Mitre N° 227,Centro de Día CAVIAHUE,1708, ,-58.575117689999999,-34.637302190000000,"1,140"
,"1,339","1,355",VII,MORON,Willliams Morris,Lavalle Nª 3202,Residencia Geriátrica del Buen Ayre,1706, ,-58.616721190000000,-34.655861090000002,"1,141"
,"1,340","1,356",VII,MORON,Willliams Morris,Villegas N° 2899,Hogar de Ancianos Los Tres, , ,-58.616721190000000,-34.655861090000002,"1,142"
,"1,421","1,437",V,PILAR,Alberti,Santa Rita N° 1279,Consultorios Médicos Manuel Alberti(Policlínica), , ,-58.775005790000002,-34.459944290000003,"1,143"
,"1,422","1,438",V,PILAR,Del Viso,Eduardo Madero N°1667,Centro Médico Del Viso ADSUM,1629, ,-58.800284490000003,-34.454929190000001,"1,144"
,"1,423","1,439",V,PILAR,Del Viso,Independencia Nª 6954,Comunidad Terapéutica Fundación San Camilo(Drogadependientes),1629, ,-58.797878900000001,-34.452343689999999,"1,145"
,"1,424","1,440",V,PILAR,Del Viso,El Buceo y Arata,Centro de Prevención Asistencial de Violencia Familiar,1629, ,-58.791985199999999,-34.452127390000001,"1,146"
,"1,425","1,441",V,PILAR,Del Viso,Colectora 12 de Octubre N° 3221 1er. Piso,Espacio Vital,1629, ,-58.813280200000001,-34.436664690000001,"1,147"
,"1,426","1,443",V,PILAR,Del Viso,11 de Septiembre N° 10,Programa Nuevo Mundo(Desintoxicación de Adicciones),1629, ,-58.794266690000001,-34.445945799999997,"1,148"
,"1,427","1,445",V,PILAR,Del Viso,11 de Septiembre N° 250,Instituto Psicopedagógico San Pablo S.A.,1629, ,-58.791758899999998,-34.444613390000001,"1,149"
,"1,428","1,446",V,PILAR,La Lonja,Saravi N° 1219,Rumbo a La Vida(Desintoxicación de Adicciones),1629, ,-58.844890100000001,-34.442496890000001,"1,150"
,"1,429","1,447",V,PILAR,La Lonja,Chile (ex 850) N° 4035,Comunidad Terapéutica Fundación Candil(Desintoxicación de Adicciones),1629, ,-58.820621090000003,-34.459073300000000,"1,151"
,"1,445","1,463",V,PILAR,Pilar,Posadas N° 1153,Enrica Mattei S.A.(Drogadependientes),1629, ,-58.895740689999997,-34.457568690000002,"1,152"
,"1,446","1,464",V,PILAR,Pilar,San Martin N° 495,Centro de Salud Mental I.P.S.E.(Hospital de Día),B1629ETI,02322-433017,-58.914814100000001,-34.456795690000000,"1,153"
,"1,447","1,465",V,PILAR,Pilar,Colectora Panamericana y 3 de Febrero(Edif. Polo 1 of. 105),Proyecciones Radiológicas,1629, ,-58.903912720000001,-34.449890619999998,"1,154"
,"1,448","1,466",V,PILAR,Pilar,Bolivar N° 487,Consultorios Médicos Bolivar,1629, ,-58.911591100000003,-34.458636290000001,"1,155"
,"1,449","1,467",V,PILAR,Pilar,Zeballos N° 592 e/Lagrave e Hipolito Yrigoyen,Pilar-Es Hogar,1629, ,-58.908328990000001,-34.455905899999998,"1,156"
,"1,450","1,468",V,PILAR,Pilar,11 DE Septiembre N° 455,Diagnóstico Laboral Pilar SRL (Policlínica),1629, ,-58.916237989999999,-34.456543089999997,"1,157"
,"1,451","1,469",V,PILAR,Presidente Derqui,Avenida Pte.Juan Domingo Peron N°1500,Hospital Universitario Austral,1664,02322-482000,-58.863955490000002,-34.455870689999998,"1,158"
,"1,452","1,470",V,PILAR,Presidente Derqui,Avenida Presidente Peron e/ Italia y Viamonte,Comunidad Terapeutica Centro de tratamiento para la Drogadependencia CE.TRA.D(Centro de Configuraciones SRL),1635, ,-58.847726790000003,-34.482903989999997,"1,159"
,"1,453","1,471",V,PILAR,Presidente Derqui,Eva Peron N° 1012,Centro Educativo Terapéutico CREAR,1664, ,-58.835776090000003,-34.492363089999998,"1,160"
,"1,454","1,472",V,PILAR,Presidente Derqui,Belgrano N° 198,Consultorios Comunitarios Presidente Drequi,1664, ,-58.845305889999999,-34.492522389999998,"1,161"
,"1,455","1,473",V,PILAR,Presidente Derqui,Edificio Paralelo 50 Sur Oficina 204 Colectora de Panamericana Km. 49.5,VITA EMPORIUM Centro de Diagnòstico por imágines para mujer,1664, ,-58.861437510000002,-34.443669509999999,"1,162"
,"1,456","1,474",V,PILAR,Presidente Derqui,Avenida Caamano N° 3000 Bo.La Caballeriza casa 18,Pilar Home Care (Internación Domiciliaria),1664, ,-58.832297099999998,-34.432774590000001,"1,163"
,"1,457","1,475",V,PILAR,Tortuguitas,Los Laureles esq.Entre Rios,Centro Nueva Vida (Discapacitados y Centro de Dia),1664, ,-58.908328990000001,-34.455905899999998,"1,164"
,"1,474","1,492",VI,QUILMES,Bernal,Avellaneda N° 21,T.C. Bernal SRL,1876,011-42591933,-58.283042289999997,-34.709133889999997,"1,165"
,"1,475","1,493",VI,QUILMES,Bernal,9 de Julio N° 146,Clínica Privada de Psicopatologías Nueve de Julio,1876, ,-58.283071589999999,-34.711935490000002,"1,166"
,"1,476","1,494",VI,QUILMES,Bernal,9 de Julio  N° 264,C.E.T.R.Y.C. S.A.,1876,011-42527007,-58.285031590000003,-34.713350800000001,"1,167"
,"1,477","1,495",VI,QUILMES,Bernal,Lavalle N° 506,Clínica Oftalmologica Privada,1876, ,-58.285448600000002,-34.711787200000003,"1,168"
,"1,478","1,496",VI,QUILMES,Bernal,Avenida San Martin N° 572,Sanatorio Bernal,1876,011-42513737/3791/522552,-58.283210799999999,-34.708749390000001,"1,169"
,"1,479","1,497",VI,QUILMES,Bernal,Belgrano N° 88,Centro Integral De Salud Belgrano,1876, ,-58.276652790000000,-34.715296400000000,"1,170"
,"1,480","1,498",VI,QUILMES,Bernal,Avenida San Martin N° 596,Salud Ocupacional Sur SRL,1876,011-42596050,-58.285251400000000,-34.707718690000000,"1,171"
,"1,481","1,499",VI,QUILMES,Bernal,Alem N° 71,Centro de Día y Hogar Ser Especial,1876, ,-58.286733490000003,-34.708852600000000,"1,172"
,"1,482","1,500",VI,QUILMES,Bernal,AvenidaSan Martin N° 536,Hogar y Centro de Dia para personas con Discapacidad Visual Villa del Sol,1876, ,-58.283755390000003,-34.708313290000000,"1,173"
,"1,483","1,501",VI,QUILMES,Bernal,AvenidaSan Martin N° 260,Centro de Rehabilitación Integral Monovalente,1876, ,-58.275694690000002,-34.711885889999998,"1,174"
,"1,484","1,502",VI,QUILMES,Bernal,Avellaneda N° 232,Comunidad Terapéutica Asiciación Revivir(Desintoxicación de Adicciones),1876, ,-58.286531289999999,-34.712062889999999,"1,175"
,"1,485","1,503",VI,QUILMES,Bernal,9 de Julio N° 161,Hogar San Sebastián,1876, ,-58.283548590000002,-34.712212590000000,"1,176"
,"1,486","1,504",VI,QUILMES,Bernal,9 de Julio N° 190,Hogar Geriátrico San Gabriel,1876, ,-58.284046390000000,-34.712611189999997,"1,177"
,"1,487","1,505",VI,QUILMES,Bernal,Avenida Dardo Rocha N° 1117,El Portal de los Abuelos(Geriátrico),1876, ,-58.302050500000000,-34.713281590000001,"1,178"
,"1,488","1,506",VI,QUILMES,Bernal,9 de Julio N° 783,Centro de Día Amor,1876, ,-58.291162690000000,-34.717623590000002,"1,179"
,"1,506","1,524",VI,QUILMES,Quilmes,Nicolas Videla N° 227,Centro del Diagnóstico por Imagen Dr. Lassalle,1878,011-42575309,-58.257943400000002,-34.720348999999999,"1,180"
,"1,507","1,525",VI,QUILMES,Quilmes,Brandsen N° 128,Clínica Brandsen S.A.,1878,011-42532957/5730/42574919/2957,-58.255236789999998,-34.727384489999999,"1,181"
,"1,508","1,526",VI,QUILMES,Quilmes,Alvear N° 514,Gens Centro Especializado en Ginecología y Obstetricia SA,1878,011-42577304/05/06/07,-58.256455199999998,-34.719830190000003,"1,182"
,"1,509","1,527",VI,QUILMES,Quilmes,San Martin N° 374,Tomografía Computada Quilmes,1878,011-42248450,-58.279676170000002,-34.710114279999999,"1,183"
,"1,510","1,528",VI,QUILMES,Quilmes,Juan Domingo Peron N° 964,CERYK Centro de Kinesiología,1878, ,-58.268880189999997,-34.730777889999999,"1,184"
,"1,511","1,529",VI,QUILMES,Quilmes,Andres Baranda N° 1085,Clínica CENI S.A.,B1878DKU,011-42240022,-58.268735499999998,-34.726099400000003,"1,185"
,"1,512","1,530",VI,QUILMES,Quilmes,Alberdi N° 233,Sanatorio Alberdi S.A.,1878,011-42548250,-58.260553700000003,-34.716679689999999,"1,186"
,"1,513","1,531",VI,QUILMES,Quilmes,Videla N° 130,Ctro. Diagnóstico por Imágenes TC Bernal,B1878,011-42574586,-58.259871599999997,-34.721194789999998,"1,187"
,"1,514","1,532",VI,QUILMES,Quilmes,Calle 30 bis N° 3055,Clinica Psiquiátrica Tempus,1878,011-42004073,-58.254605099999999,-34.720633589999998,"1,188"
,"1,515","1,533",VI,QUILMES,Quilmes,Alem N° 475,Centro Radiologico de Quilmes S.A.,1878,011-42530463,-58.251619589999997,-34.720187289999998,"1,189"
,"1,516","1,534",VI,QUILMES,Quilmes,Yrigoyen N° 712,Unidad Coronaria Movil Quilmes S.A.,1878,011-42240202,-58.252216689999997,-34.733857999999998,"1,190"
,"1,517","1,535",VI,QUILMES,Quilmes,12 De Octubre 988,APRES S.A. Servicios Médicos,1878,011-42560683,-58.268415290000000,-34.731759500000003,"1,191"
,"1,518","1,536",VI,QUILMES,Quilmes,Bernardo de Irigoyen N° 1975,Hogar Integral Las Quintas(Discapacitados),1878, ,-58.261309599999997,-34.732842890000001,"1,192"
,"1,519","1,537",VI,QUILMES,Quilmes,Alsina N° 418,Policlinica Manuel Castañeira MEDIFE,1878,011-42571033,-58.253895999999997,-34.719201990000002,"1,193"
,"1,520","1,538",VI,QUILMES,Quilmes,Brown N° 342,Policlinica Privada Cemebo,1878,011-42543668,-58.259502500000004,-34.717512499999998,"1,194"
,"1,538","1,556",VI,QUILMES,Quilmes,Carlos Pellegrini N° 561,Consultorios Externos de Traumatología y Kinesiología,1878, ,-58.266714299999997,-34.726387989999999,"1,195"
,"1,539","1,557",VI,QUILMES,Quilmes,9 De Julio N° 110,Centro De Rehabilitacion 9 De Julio,1878, ,-58.260842789999998,-34.720583189999999,"1,196"
,"1,540","1,558",VI,QUILMES,Quilmes,Olavarria N° 73,Odontología Inetgral Dr. Ritter,1878, ,-58.257456800000000,-34.726527900000001,"1,197"
,"1,541","1,559",VI,QUILMES,Quilmes,Pellegrini N° 431 (ex 213),Consultorios Externos Pediatricos de Sanatorio de la Trinidad Quilmes S.A.,1878, ,-58.265552200000002,-34.725786700000000,"1,198"
,"1,542","1,560",VI,QUILMES,Quilmes,Hipolito Yrigoyen N° 737,Centro de Rehabilitación Instituto CAREN,1878, ,-58.252243790000001,-34.733879299999998,"1,199"
,"1,543","1,561",VI,QUILMES,Quilmes,Sarmiento N° 315,Instituto de Investigaciones Clínicas Quilmes,1878,011-42534873,-58.256814419999998,-34.715667070000002,"1,200"
,"1,544","1,562",VI,QUILMES,Quilmes,Coronel Brandsen N° 282,Centro de Diagnóstico y Tratamiento de Baja y Mediana Complejidad (Policlínica),1878, ,-58.252303820000002,-34.726085939999997,"1,201"
,"1,545","1,563",VI,QUILMES,Quilmes,Pellegrini N° 499,Sanatorio de La Trinidad Quilmes SA,1878, ,-58.265900000000002,-34.725961390000002,"1,202"
,"1,546","1,564",VI,QUILMES,Quilmes,Humberto Primo Nª 220,Cobertura Médica y Asistencial Integral SRL,1878, ,-58.255229989999997,-34.724146089999998,"1,203"
,"1,547","1,565",VI,QUILMES,Quilmes,Gran Canaria N° 938 (ex 442),Centro Médico de Atención Primaria Delegación Quilmes(Obra Social Personal de Maestranza),1878, ,-58.264976799999999,-34.720864499999998,"1,204"
,"1,548","1,566",VI,QUILMES,Quilmes,Vicente Lopez N° 1051,Fresenius Medical Care,1878, ,-58.265184689999998,-34.723884890000001,"1,205"
